mhjd	mag_A	magerr_A	mag_B	magerr_B	mag_C	magerr_C	mag_D	magerr_D
====	=====	========	=====	========	=====	========	=====	========
54084.32728	-12.38174	0.00996	-11.91726	0.01325	-11.03698	0.02781	-09.99242	0.07587
54086.34063	-12.40171	0.00986	-11.95766	0.01331	-11.01374	0.02836	-09.98626	0.08086
54089.33271	-12.41375	0.00836	-11.95223	0.01091	-11.02738	0.02155	-10.00377	0.05057
54091.31970	-12.42546	0.00904	-11.99019	0.01231	-10.95446	0.02484	-09.98952	0.06301
54097.31514	-12.41547	0.00860	-11.97291	0.01151	-10.97308	0.02276	-09.99790	0.04916
54103.30143	-12.36211	0.01467	-11.98960	0.02070	-10.97885	0.04728	-09.99411	0.10822
54105.29990	-12.34915	0.01442	-12.01105	0.02070	-10.97765	0.04670	-09.98492	0.10390
54111.30867	-12.36540	0.01421	-11.92843	0.02092	-11.02228	0.04869	-09.98645	0.09126
54118.27898	-12.38142	0.00922	-11.92618	0.01264	-10.98249	0.02777	-10.02353	0.04981
54122.19874	-12.43085	0.00838	-11.93464	0.01134	-10.96235	0.02270	-10.03599	0.04029
54125.28344	-12.44885	0.00831	-11.90048	0.01160	-10.89186	0.02338	-10.06055	0.04317
54131.20693	-12.47406	0.01283	-12.02197	0.01966	-10.96561	0.04561	-10.01074	0.09223
54135.18774	-12.40337	0.01915	-12.03111	0.02938	-11.08733	0.06797	-10.03089	0.14001
54140.17054	-12.30753	0.01183	-11.93705	0.01652	-10.95221	0.03657	-09.95920	0.06352
54145.28324	-12.25155	0.00874	-11.92542	0.01153	-10.98864	0.02198	-09.89306	0.03394
54150.17411	-12.21902	0.00864	-11.86512	0.01115	-11.04244	0.02204	-09.88483	0.03006
54155.27366	-12.21116	0.00900	-11.85551	0.01168	-10.89631	0.02290	-09.90124	0.03454
54161.10581	-12.15088	0.02308	-11.84891	0.03241	-10.88567	0.07864	-09.95146	0.15328
54169.12178	-12.14038	0.01151	-11.83797	0.01561	-10.85305	0.03206	-09.93146	0.05630
54174.10607	-12.10604	0.01031	-11.81231	0.01359	-10.75964	0.02709	-09.85296	0.04830
54179.06917	-12.12139	0.01112	-11.75743	0.01500	-10.72877	0.03103	-09.83795	0.05656
54183.12104	-12.12593	0.00976	-11.79804	0.01236	-10.79443	0.02404	-09.81983	0.03878
54197.04422	-12.20554	0.01218	-11.85900	0.01623	-10.72463	0.03598	-10.01525	0.07028
54200.17186	-12.21033	0.01050	-11.82031	0.01398	-10.69023	0.03003	-09.97798	0.05929
54203.13172	-12.22532	0.00966	-11.84501	0.01278	-10.73138	0.02620	-09.93284	0.04994
54204.13361	-12.23616	0.00961	-11.83764	0.01239	-10.77052	0.02539	-09.95812	0.04980
54207.19723	-12.24517	0.01045	-11.84499	0.01378	-10.76661	0.03097	-09.94243	0.06200
54213.00653	-12.19544	0.01131	-11.85366	0.01478	-10.72798	0.03273	-09.88105	0.06338
54216.00781	-12.24397	0.01478	-11.84564	0.02000	-10.79465	0.04339	-09.81934	0.08968
54223.19575	-12.28053	0.02273	-11.80814	0.03318	-10.82151	0.08012	-09.72728	0.15621
54229.14133	-12.26792	0.01135	-11.83485	0.01579	-10.85360	0.03715	-09.86934	0.07290
54231.00689	-12.29410	0.00951	-11.85572	0.01283	-10.92707	0.02524	-09.70951	0.04956
54234.08356	-12.31411	0.01090	-11.88271	0.01461	-10.87402	0.03141	-09.76416	0.07405
54235.06955	-12.31515	0.00914	-11.85241	0.01197	-10.81080	0.02432	-09.78853	0.04668
54237.09956	-12.32608	0.01114	-11.90056	0.01470	-10.71649	0.03256	-09.81054	0.07135
54447.33178	-12.35211	0.01025	-11.73936	0.01569	-10.78543	0.03065	-10.13362	0.04988
54456.31622	-12.32788	0.01467	-11.63557	0.02437	-10.84474	0.05327	-10.15165	0.07774
54462.29965	-12.27434	0.01499	-11.62890	0.02511	-10.74959	0.05367	-10.10934	0.07157
54476.26111	-12.12144	0.01024	-11.55841	0.01561	-10.76993	0.03019	-10.07199	0.03416
54485.27822	-12.11669	0.01445	-11.51940	0.02518	-10.65063	0.05039	-10.04146	0.06280
54492.27599	-12.12025	0.01898	-11.61037	0.03457	-10.54140	0.06683	-10.08741	0.08574
54497.25373	-12.09495	0.01148	-11.47272	0.01716	-10.47464	0.03608	-10.06985	0.04222
54501.22336	-12.06089	0.01052	-11.46634	0.01670	-10.54730	0.03292	-10.05041	0.03716
54504.20529	-12.01729	0.01377	-11.43947	0.02308	-10.49567	0.04653	-10.01898	0.06055
54508.19640	-12.04651	0.01019	-11.48098	0.01561	-10.46237	0.03136	-10.00588	0.03464
54510.26386	-12.07478	0.01000	-11.45599	0.01499	-10.41879	0.02999	-10.02633	0.03405
54512.21421	-12.09616	0.01353	-11.44205	0.02235	-10.40625	0.04473	-10.01594	0.05817
54514.39757	-12.08669	0.01974	-11.46467	0.03364	-10.44765	0.08077	-10.04046	0.10864
54516.17087	-12.14025	0.01803	-11.48080	0.03108	-10.53750	0.07019	-09.99148	0.09673
54521.25266	-12.20341	0.01211	-11.53845	0.02029	-10.46307	0.04472	-09.97744	0.06160
54524.22613	-12.24228	0.01054	-11.58691	0.01676	-10.39665	0.03571	-09.95454	0.04777
54528.12277	-12.27647	0.00950	-11.58426	0.01451	-10.49688	0.02903	-10.00977	0.03833
54532.19017	-12.33153	0.00967	-11.64959	0.01463	-10.49848	0.03057	-09.94649	0.04672
54536.25418	-12.38599	0.00869	-11.71787	0.01316	-10.53165	0.02735	-09.92610	0.03973
54539.17306	-12.41376	0.00863	-11.66713	0.01365	-10.69438	0.02544	-09.97245	0.04005
54541.07706	-12.43855	0.01043	-11.76049	0.01759	-10.72238	0.03483	-09.92481	0.05840
54543.21337	-12.45512	0.01240	-11.83780	0.02170	-10.64395	0.04947	-09.88681	0.08704
54545.24874	-12.48302	0.01359	-11.84960	0.02333	-10.70088	0.05883	-09.90435	0.09686
54548.13710	-12.51857	0.01625	-11.84450	0.02806	-10.71989	0.06913	-09.90621	0.11981
54549.15938	-12.53576	0.01512	-11.88386	0.02587	-10.73064	0.05988	-09.92713	0.12340
54550.21729	-12.54358	0.01133	-11.88088	0.01866	-10.70557	0.04595	-09.88231	0.07498
54551.18959	-12.56681	0.00926	-11.88067	0.01466	-10.67580	0.03334	-09.90290	0.05530
54552.13439	-12.57045	0.00868	-11.92520	0.01370	-10.65992	0.02902	-09.93074	0.05350
